t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,-0.04,1.0)","(1.81,-0.06,0.99)","(3.62,-0.01,0.95)","(5.44,0.1,0.89)","(7.25,0.03,0.8)","(9.06,0.01,0.69)","(10.87,0.07,0.56)","(12.69,0.08,0.4)","(14.5,-0.02,0.22)","(16.31,-0.06,0.01)","(18.12,-0.05,0)","(19.94,0.01,0)","(21.75,0.01,0)",
"(0.0,-0.03,1.0)","(1.8,-0.02,0.99)","(3.59,-0.05,0.95)","(5.39,-0.08,0.89)","(7.19,-0.07,0.8)","(8.99,0.01,0.69)","(10.78,0.01,0.56)","(12.58,0.06,0.4)","(14.38,0.05,0.22)","(16.18,-0.0,0.01)","(17.97,-0.06,0)","(19.77,-0.1,0)","(21.57,0.04,0)",
"(0.0,-0.04,1.0)","(1.69,-0.03,0.99)","(3.39,-0.03,0.95)","(5.08,0.09,0.89)","(6.78,-0.02,0.8)","(8.47,0.04,0.69)","(10.17,0.07,0.56)","(11.86,-0.04,0.4)","(13.56,0.09,0.22)","(15.25,0.05,0.01)","(16.95,0.05,0)","(18.64,0.05,0)","(20.34,0.09,0)",
"(0.0,0.02,1.0)","(1.78,-0.05,0.99)","(3.56,0.03,0.95)","(5.33,0.09,0.89)","(7.11,0.08,0.8)","(8.89,-0.05,0.69)","(10.67,-0.08,0.56)","(12.45,0.04,0.4)","(14.22,0.08,0.22)","(16.0,0.1,0.01)","(17.78,-0.08,0)","(19.56,-0.02,0)","(21.33,-0.07,0)",
"(0.0,-0.03,1.0)","(2.08,0.02,0.99)","(4.16,0.05,0.95)","(6.25,-0.03,0.89)","(8.33,0.0,0.8)","(10.41,-0.02,0.69)","(12.49,0.0,0.56)","(14.58,0.01,0.4)","(16.66,-0.02,0.22)","(18.74,0.06,0.01)","(20.82,-0.02,0)",,,
"(0.0,-0.05,1.0)","(1.88,0.0,0.99)","(3.77,0.09,0.95)","(5.65,-0.03,0.89)","(7.54,0.07,0.8)","(9.42,0.01,0.69)","(11.31,0.04,0.56)","(13.19,-0.1,0.4)","(15.07,-0.03,0.22)","(16.96,0.04,0.01)","(18.84,-0.07,0)","(20.73,0.01,0)",,
"(0.0,0.02,1.0)","(2.01,-0.02,0.99)","(4.01,-0.06,0.95)","(6.02,0.04,0.89)","(8.03,-0.01,0.8)","(10.04,-0.04,0.69)","(12.04,0.01,0.56)","(14.05,0.08,0.4)","(16.06,0.01,0.22)","(18.06,0.05,0.01)","(20.07,-0.07,0)","(22.08,0.08,0)",,
"(0.0,-0.02,1.0)","(1.86,-0.08,0.99)","(3.73,-0.09,0.95)","(5.59,-0.09,0.89)","(7.46,0.05,0.8)","(9.32,-0.08,0.69)","(11.18,0.06,0.56)","(13.05,0.08,0.4)","(14.91,0.02,0.22)","(16.78,-0.05,0.01)","(18.64,-0.08,0)","(20.5,-0.03,0)",,
"(0.0,0.1,1.0)","(2.04,-0.03,0.99)","(4.07,0.09,0.95)","(6.11,0.08,0.89)","(8.15,0.06,0.8)","(10.18,0.05,0.69)","(12.22,0.06,0.56)","(14.25,0.1,0.4)","(16.29,0.03,0.22)","(18.33,-0.1,0.01)","(20.36,-0.04,0)",,,
"(0.0,-0.04,1.0)","(1.7,0.09,0.99)","(3.41,-0.03,0.95)","(5.11,0.02,0.89)","(6.82,0.02,0.8)","(8.52,0.07,0.69)","(10.22,-0.06,0.56)","(11.93,0.04,0.4)","(13.63,0.01,0.22)","(15.34,0.07,0.01)","(17.04,-0.03,0)","(18.74,0.04,0)","(20.45,0.01,0)",
"(0.0,-0.09,1.0)","(1.89,0.07,0.99)","(3.77,0.06,0.95)","(5.66,0.01,0.89)","(7.55,0.03,0.8)","(9.43,-0.09,0.69)","(11.32,-0.08,0.56)","(13.21,-0.04,0.4)","(15.09,-0.09,0.22)","(16.98,-0.03,0.01)","(18.87,0.04,0)","(20.75,-0.0,0)",,
"(0.0,-0.08,1.0)","(2.01,-0.07,0.99)","(4.03,0.04,0.95)","(6.04,-0.04,0.89)","(8.06,0.09,0.8)","(10.07,-0.02,0.69)","(12.08,0.0,0.56)","(14.1,0.02,0.4)","(16.11,0.03,0.22)","(18.13,0.01,0.01)","(20.14,0.09,0)",,,
"(0.0,0.01,1.0)","(1.95,0.09,0.99)","(3.91,0.05,0.95)","(5.86,-0.09,0.89)","(7.82,-0.01,0.8)","(9.77,0.09,0.69)","(11.73,0.01,0.56)","(13.68,-0.02,0.4)","(15.64,0.07,0.22)","(17.59,-0.04,0.01)","(19.55,-0.02,0)","(21.5,0.04,0)",,
"(0.0,-0.07,1.0)","(2.01,0.08,0.99)","(4.02,-0.05,0.95)","(6.03,-0.07,0.89)","(8.04,0.07,0.8)","(10.05,0.1,0.69)","(12.06,0.06,0.56)","(14.07,-0.07,0.4)","(16.08,0.04,0.22)","(18.09,0.02,0.01)","(20.1,0.1,0)","(22.11,-0.09,0)",,
"(0.0,0.02,1.0)","(1.99,0.0,0.99)","(3.99,-0.03,0.95)","(5.98,0.07,0.89)","(7.97,-0.09,0.8)","(9.97,-0.09,0.69)","(11.96,0.07,0.56)","(13.95,-0.06,0.4)","(15.95,0.05,0.22)","(17.94,0.01,0.01)","(19.94,0.01,0)","(21.93,0.09,0)",,
"(0.0,0.02,1.0)","(1.9,-0.02,0.99)","(3.81,-0.08,0.95)","(5.71,-0.04,0.89)","(7.62,-0.05,0.8)","(9.52,0.07,0.69)","(11.43,0.06,0.56)","(13.33,-0.02,0.4)","(15.23,-0.07,0.22)","(17.14,-0.05,0.01)","(19.04,-0.04,0)","(20.95,0.08,0)",,
"(0.0,-0.08,1.0)","(1.79,-0.07,0.99)","(3.57,0.03,0.95)","(5.36,0.09,0.89)","(7.15,0.02,0.8)","(8.93,-0.08,0.69)","(10.72,-0.01,0.56)","(12.51,0.03,0.4)","(14.29,0.08,0.22)","(16.08,-0.06,0.01)","(17.87,-0.02,0)","(19.65,-0.03,0)","(21.44,0.01,0)",
"(0.0,0.03,1.0)","(2.02,-0.07,0.99)","(4.04,-0.02,0.95)","(6.06,0.09,0.89)","(8.08,0.03,0.8)","(10.1,-0.06,0.69)","(12.12,-0.09,0.56)","(14.14,0.09,0.4)","(16.16,0.05,0.22)","(18.18,0.01,0.01)","(20.2,0.07,0)",,,
"(0.0,0.03,1.0)","(2.05,0.05,0.99)","(4.1,0.05,0.95)","(6.15,-0.05,0.89)","(8.2,-0.09,0.8)","(10.25,-0.01,0.69)","(12.3,0.08,0.56)","(14.35,-0.09,0.4)","(16.4,-0.09,0.22)","(18.44,-0.06,0.01)","(20.49,0.08,0)",,,
"(0.0,-0.02,1.0)","(1.79,-0.06,0.99)","(3.59,0.07,0.95)","(5.38,-0.04,0.89)","(7.18,0.03,0.8)","(8.97,0.1,0.69)","(10.76,0.05,0.56)","(12.56,0.02,0.4)","(14.35,0.01,0.22)","(16.14,-0.1,0.01)","(17.94,0.03,0)","(19.73,0.03,0)","(21.53,-0.08,0)",
"(0.0,0.02,1.0)","(1.67,-0.0,0.99)","(3.35,-0.08,0.95)","(5.02,0.01,0.89)","(6.69,0.07,0.8)","(8.37,-0.0,0.69)","(10.04,0.02,0.56)","(11.71,0.09,0.4)","(13.38,-0.1,0.22)","(15.06,-0.01,0.01)","(16.73,0.01,0)","(18.4,0.06,0)","(20.08,-0.09,0)","(21.75,-0.09,0)"
"(0.0,-0.04,1.0)","(2.0,0.05,0.99)","(4.0,-0.05,0.95)","(6.0,0.09,0.89)","(8.01,-0.02,0.8)","(10.01,-0.03,0.69)","(12.01,-0.04,0.56)","(14.01,0.01,0.4)","(16.01,-0.1,0.22)","(18.01,-0.08,0.01)","(20.02,0.09,0)","(22.02,-0.08,0)",,
"(0.0,-0.02,1.0)","(1.91,-0.09,0.99)","(3.83,-0.05,0.95)","(5.74,-0.0,0.89)","(7.65,-0.0,0.8)","(9.56,-0.08,0.69)","(11.48,-0.03,0.56)","(13.39,0.02,0.4)","(15.3,-0.1,0.22)","(17.22,-0.0,0.01)","(19.13,0.03,0)","(21.04,0.0,0)",,
"(0.0,0.04,1.0)","(2.0,-0.05,0.99)","(4.01,-0.05,0.95)","(6.01,-0.0,0.89)","(8.01,-0.06,0.8)","(10.02,0.0,0.69)","(12.02,-0.02,0.56)","(14.03,0.09,0.4)","(16.03,0.03,0.22)","(18.03,-0.05,0.01)","(20.04,0.06,0)","(22.04,-0.1,0)",,
"(0.0,-0.01,1.0)","(1.75,0.07,0.99)","(3.49,-0.07,0.95)","(5.24,0.0,0.89)","(6.99,0.09,0.8)","(8.74,0.1,0.69)","(10.48,-0.07,0.56)","(12.23,0.1,0.4)","(13.98,0.08,0.22)","(15.72,0.09,0.01)","(17.47,0.1,0)","(19.22,0.09,0)","(20.97,-0.05,0)",
"(0.0,0.01,1.0)","(2.0,0.06,0.99)","(3.99,0.01,0.95)","(5.99,0.06,0.89)","(7.98,0.1,0.8)","(9.98,0.06,0.69)","(11.98,-0.02,0.56)","(13.97,-0.07,0.4)","(15.97,-0.03,0.22)","(17.96,0.08,0.01)","(19.96,-0.02,0)","(21.96,-0.09,0)",,
"(0.0,0.1,1.0)","(1.74,-0.06,0.99)","(3.49,-0.07,0.95)","(5.23,-0.08,0.89)","(6.98,-0.07,0.8)","(8.72,0.03,0.69)","(10.47,0.07,0.56)","(12.21,-0.07,0.4)","(13.96,0.08,0.22)","(15.7,0.07,0.01)","(17.45,0.03,0)","(19.19,0.01,0)","(20.94,-0.02,0)",
"(0.0,-0.02,1.0)","(2.08,0.02,0.99)","(4.15,0.05,0.95)","(6.23,0.01,0.89)","(8.31,-0.09,0.8)","(10.39,-0.09,0.69)","(12.46,0.06,0.56)","(14.54,0.03,0.4)","(16.62,0.06,0.22)","(18.69,-0.09,0.01)","(20.77,-0.03,0)",,,
"(0.0,-0.03,1.0)","(1.89,-0.04,0.99)","(3.77,0.05,0.95)","(5.66,-0.03,0.89)","(7.55,0.09,0.8)","(9.44,0.01,0.69)","(11.32,0.07,0.56)","(13.21,-0.06,0.4)","(15.1,-0.07,0.22)","(16.99,0.02,0.01)","(18.87,0.04,0)","(20.76,-0.0,0)",,
"(0.0,-0.07,1.0)","(2.04,0.07,0.99)","(4.08,0.03,0.95)","(6.12,-0.1,0.89)","(8.16,0.1,0.8)","(10.2,-0.07,0.69)","(12.24,0.06,0.56)","(14.28,-0.05,0.4)","(16.32,-0.03,0.22)","(18.35,-0.02,0.01)","(20.39,-0.02,0)",,,
"(0.0,-0.02,1.0)","(1.79,-0.02,0.99)","(3.58,-0.02,0.95)","(5.37,0.01,0.89)","(7.16,-0.08,0.8)","(8.95,0.01,0.69)","(10.74,-0.02,0.56)","(12.53,-0.06,0.4)","(14.32,-0.05,0.22)","(16.11,0.08,0.01)","(17.9,-0.09,0)","(19.69,0.08,0)","(21.48,-0.03,0)",
"(0.0,-0.05,1.0)","(1.74,-0.01,0.99)","(3.47,0.05,0.95)","(5.21,-0.06,0.89)","(6.95,-0.08,0.8)","(8.68,-0.03,0.69)","(10.42,0.01,0.56)","(12.16,-0.04,0.4)","(13.89,0.0,0.22)","(15.63,-0.04,0.01)","(17.37,-0.01,0)","(19.11,-0.02,0)","(20.84,-0.07,0)",
"(0.0,-0.07,1.0)","(1.89,-0.06,0.99)","(3.77,-0.03,0.95)","(5.66,-0.03,0.89)","(7.54,0.05,0.8)","(9.43,0.01,0.69)","(11.32,-0.09,0.56)","(13.2,-0.03,0.4)","(15.09,0.06,0.22)","(16.97,-0.05,0.01)","(18.86,0.09,0)","(20.75,0.09,0)",,
"(0.0,0.02,1.0)","(1.98,-0.07,0.99)","(3.96,-0.05,0.95)","(5.95,-0.09,0.89)","(7.93,-0.07,0.8)","(9.91,-0.04,0.69)","(11.89,-0.06,0.56)","(13.88,-0.04,0.4)","(15.86,0.04,0.22)","(17.84,-0.01,0.01)","(19.82,-0.03,0)","(21.81,-0.05,0)",,
"(0.0,-0.0,1.0)","(1.71,-0.05,0.99)","(3.43,-0.05,0.95)","(5.14,-0.07,0.89)","(6.85,-0.05,0.8)","(8.57,-0.05,0.69)","(10.28,0.07,0.56)","(11.99,0.07,0.4)","(13.71,-0.0,0.22)","(15.42,-0.04,0.01)","(17.14,0.07,0)","(18.85,-0.06,0)","(20.56,0.02,0)",
"(0.0,0.02,1.0)","(1.99,0.08,0.99)","(3.98,0.04,0.95)","(5.98,0.0,0.89)","(7.97,0.06,0.8)","(9.96,-0.04,0.69)","(11.95,-0.03,0.56)","(13.95,0.05,0.4)","(15.94,-0.04,0.22)","(17.93,-0.01,0.01)","(19.92,-0.09,0)","(21.91,0.01,0)",,
"(0.0,0.04,1.0)","(1.86,0.0,0.99)","(3.72,-0.01,0.95)","(5.59,-0.03,0.89)","(7.45,0.0,0.8)","(9.31,-0.03,0.69)","(11.17,0.0,0.56)","(13.04,-0.07,0.4)","(14.9,0.04,0.22)","(16.76,0.0,0.01)","(18.62,0.09,0)","(20.49,-0.03,0)",,
"(0.0,-0.05,1.0)","(1.87,-0.09,0.99)","(3.73,-0.06,0.95)","(5.6,-0.02,0.89)","(7.46,0.08,0.8)","(9.33,0.0,0.69)","(11.2,0.06,0.56)","(13.06,-0.09,0.4)","(14.93,-0.08,0.22)","(16.8,0.01,0.01)","(18.66,0.04,0)","(20.53,-0.01,0)",,
"(0.0,0.02,1.0)","(1.76,-0.02,0.99)","(3.52,-0.09,0.95)","(5.28,0.04,0.89)","(7.04,-0.03,0.8)","(8.8,-0.03,0.69)","(10.55,-0.1,0.56)","(12.31,0.05,0.4)","(14.07,-0.01,0.22)","(15.83,-0.1,0.01)","(17.59,0.03,0)","(19.35,-0.06,0)","(21.11,-0.04,0)",
"(0.0,0.07,1.0)","(1.84,-0.02,0.99)","(3.69,0.05,0.95)","(5.53,0.02,0.89)","(7.37,-0.02,0.8)","(9.21,-0.09,0.69)","(11.06,0.05,0.56)","(12.9,0.03,0.4)","(14.74,0.08,0.22)","(16.58,-0.04,0.01)","(18.43,-0.08,0)","(20.27,0.04,0)",,
"(0.0,0.01,1.0)","(1.85,0.05,0.99)","(3.69,-0.09,0.95)","(5.54,0.04,0.89)","(7.38,0.04,0.8)","(9.23,-0.08,0.69)","(11.07,0.02,0.56)","(12.92,-0.04,0.4)","(14.76,0.07,0.22)","(16.61,-0.01,0.01)","(18.45,0.0,0)","(20.3,0.0,0)",,
"(0.0,-0.04,1.0)","(1.76,-0.01,0.99)","(3.52,-0.03,0.95)","(5.29,0.04,0.89)","(7.05,0.1,0.8)","(8.81,-0.08,0.69)","(10.57,0.01,0.56)","(12.34,0.04,0.4)","(14.1,-0.06,0.22)","(15.86,0.04,0.01)","(17.62,-0.04,0)","(19.39,0.02,0)","(21.15,0.07,0)",
"(0.0,0.05,1.0)","(1.82,0.05,0.99)","(3.63,0.01,0.95)","(5.45,0.05,0.89)","(7.26,-0.09,0.8)","(9.08,-0.04,0.69)","(10.89,-0.03,0.56)","(12.71,-0.07,0.4)","(14.52,-0.08,0.22)","(16.34,-0.03,0.01)","(18.15,-0.08,0)","(19.97,-0.06,0)","(21.78,-0.01,0)",
"(0.0,0.01,1.0)","(1.79,-0.01,0.99)","(3.59,0.1,0.95)","(5.38,0.07,0.89)","(7.18,0.02,0.8)","(8.97,-0.01,0.69)","(10.76,0.08,0.56)","(12.56,0.05,0.4)","(14.35,0.1,0.22)","(16.14,0.1,0.01)","(17.94,-0.01,0)","(19.73,-0.02,0)","(21.53,0.01,0)",
"(0.0,0.09,1.0)","(1.87,0.07,0.99)","(3.74,-0.06,0.95)","(5.61,0.03,0.89)","(7.48,0.07,0.8)","(9.34,0.01,0.69)","(11.21,-0.08,0.56)","(13.08,0.05,0.4)","(14.95,-0.1,0.22)","(16.82,0.03,0.01)","(18.69,-0.09,0)","(20.56,0.02,0)",,
"(0.0,-0.06,1.0)","(1.77,0.02,0.99)","(3.55,0.09,0.95)","(5.32,0.01,0.89)","(7.1,0.05,0.8)","(8.87,-0.08,0.69)","(10.64,0.05,0.56)","(12.42,-0.01,0.4)","(14.19,-0.08,0.22)","(15.96,-0.1,0.01)","(17.74,0.02,0)","(19.51,-0.04,0)","(21.29,-0.02,0)",
"(0.0,0.03,1.0)","(1.72,0.06,0.99)","(3.44,0.01,0.95)","(5.15,0.01,0.89)","(6.87,0.07,0.8)","(8.59,-0.04,0.69)","(10.31,-0.07,0.56)","(12.03,-0.01,0.4)","(13.74,0.08,0.22)","(15.46,0.01,0.01)","(17.18,-0.03,0)","(18.9,0.05,0)","(20.62,-0.05,0)",
"(0.0,0.05,1.0)","(2.02,0.09,0.99)","(4.03,0.03,0.95)","(6.05,-0.02,0.89)","(8.07,-0.08,0.8)","(10.08,0.07,0.69)","(12.1,-0.06,0.56)","(14.12,-0.09,0.4)","(16.13,0.03,0.22)","(18.15,-0.02,0.01)","(20.17,-0.05,0)",,,
"(0.0,0.07,1.0)","(2.06,-0.01,0.99)","(4.12,0.05,0.95)","(6.19,-0.03,0.89)","(8.25,0.04,0.8)","(10.31,-0.04,0.69)","(12.37,-0.04,0.56)","(14.43,0.07,0.4)","(16.5,-0.0,0.22)","(18.56,-0.02,0.01)","(20.62,-0.05,0)",,,
"(0.0,0.09,1.0)","(2.05,-0.03,0.99)","(4.1,0.07,0.95)","(6.15,0.07,0.89)","(8.2,0.03,0.8)","(10.25,0.01,0.69)","(12.3,-0.08,0.56)","(14.35,-0.05,0.4)","(16.4,-0.02,0.22)","(18.45,-0.08,0.01)","(20.5,-0.02,0)",,,
"(0.0,-0.01,1.0)","(2.04,0.05,0.99)","(4.08,0.1,0.95)","(6.12,0.02,0.89)","(8.16,0.01,0.8)","(10.2,-0.01,0.69)","(12.24,0.02,0.56)","(14.28,0.07,0.4)","(16.32,0.05,0.22)","(18.36,0.01,0.01)","(20.4,-0.08,0)",,,
"(0.0,0.02,1.0)","(1.75,0.07,0.99)","(3.49,-0.07,0.95)","(5.24,0.05,0.89)","(6.98,-0.01,0.8)","(8.73,0.03,0.69)","(10.47,-0.04,0.56)","(12.22,0.04,0.4)","(13.96,-0.06,0.22)","(15.71,-0.04,0.01)","(17.45,-0.06,0)","(19.2,0.09,0)","(20.94,-0.09,0)",
"(0.0,0.01,1.0)","(2.04,0.08,0.99)","(4.09,0.02,0.95)","(6.13,0.06,0.89)","(8.18,-0.02,0.8)","(10.22,0.0,0.69)","(12.27,-0.01,0.56)","(14.31,-0.09,0.4)","(16.35,0.03,0.22)","(18.4,0.05,0.01)","(20.44,0.04,0)",,,
"(0.0,0.05,1.0)","(1.77,-0.04,0.99)","(3.54,0.02,0.95)","(5.32,-0.09,0.89)","(7.09,0.09,0.8)","(8.86,0.04,0.69)","(10.63,0.01,0.56)","(12.41,0.09,0.4)","(14.18,-0.05,0.22)","(15.95,0.06,0.01)","(17.72,0.09,0)","(19.5,-0.04,0)","(21.27,0.01,0)",
"(0.0,0.1,1.0)","(1.94,0.06,0.99)","(3.88,0.0,0.95)","(5.82,0.03,0.89)","(7.76,0.07,0.8)","(9.69,0.07,0.69)","(11.63,0.08,0.56)","(13.57,-0.09,0.4)","(15.51,0.04,0.22)","(17.45,0.09,0.01)","(19.39,-0.05,0)","(21.33,-0.07,0)",,
"(0.0,-0.05,1.0)","(1.93,0.08,0.99)","(3.86,-0.08,0.95)","(5.8,-0.09,0.89)","(7.73,-0.1,0.8)","(9.66,-0.02,0.69)","(11.59,0.04,0.56)","(13.53,0.02,0.4)","(15.46,-0.02,0.22)","(17.39,-0.01,0.01)","(19.32,0.04,0)","(21.25,0.09,0)",,
"(0.0,0.1,1.0)","(1.77,-0.0,0.99)","(3.54,0.01,0.95)","(5.31,0.0,0.89)","(7.08,0.01,0.8)","(8.85,-0.05,0.69)","(10.62,0.03,0.56)","(12.39,0.03,0.4)","(14.16,-0.02,0.22)","(15.93,-0.02,0.01)","(17.7,0.06,0)","(19.47,0.06,0)","(21.24,0.05,0)",
"(0.0,-0.03,1.0)","(1.81,-0.03,0.99)","(3.62,0.05,0.95)","(5.43,0.07,0.89)","(7.24,0.05,0.8)","(9.05,-0.03,0.69)","(10.86,-0.01,0.56)","(12.67,0.06,0.4)","(14.49,-0.01,0.22)","(16.3,-0.01,0.01)","(18.11,0.04,0)","(19.92,-0.04,0)","(21.73,0.1,0)",
"(0.0,-0.03,1.0)","(1.94,0.03,0.99)","(3.88,0.06,0.95)","(5.81,0.06,0.89)","(7.75,-0.04,0.8)","(9.69,0.03,0.69)","(11.63,-0.06,0.56)","(13.57,0.01,0.4)","(15.51,0.04,0.22)","(17.44,-0.02,0.01)","(19.38,0.05,0)","(21.32,0.02,0)",,
"(0.0,-0.08,1.0)","(1.71,0.08,0.99)","(3.42,-0.07,0.95)","(5.14,0.09,0.89)","(6.85,0.08,0.8)","(8.56,-0.04,0.69)","(10.27,0.04,0.56)","(11.98,0.05,0.4)","(13.69,0.07,0.22)","(15.41,-0.07,0.01)","(17.12,-0.05,0)","(18.83,0.01,0)","(20.54,0.01,0)",
"(0.0,0.05,1.0)","(1.96,0.0,0.99)","(3.92,-0.0,0.95)","(5.88,0.04,0.89)","(7.85,-0.07,0.8)","(9.81,-0.05,0.69)","(11.77,-0.03,0.56)","(13.73,-0.02,0.4)","(15.69,0.05,0.22)","(17.65,0.03,0.01)","(19.62,0.06,0)","(21.58,-0.04,0)",,
"(0.0,-0.07,1.0)","(1.84,-0.06,0.99)","(3.68,-0.02,0.95)","(5.51,0.02,0.89)","(7.35,0.07,0.8)","(9.19,0.04,0.69)","(11.03,-0.06,0.56)","(12.86,-0.1,0.4)","(14.7,-0.09,0.22)","(16.54,0.05,0.01)","(18.38,-0.05,0)","(20.21,0.05,0)",,
"(0.0,-0.04,1.0)","(1.93,-0.05,0.99)","(3.85,0.07,0.95)","(5.78,-0.09,0.89)","(7.7,-0.06,0.8)","(9.63,0.05,0.69)","(11.55,0.08,0.56)","(13.48,0.01,0.4)","(15.4,0.02,0.22)","(17.33,-0.07,0.01)","(19.26,0.05,0)","(21.18,0.01,0)",,
"(0.0,-0.02,1.0)","(2.0,-0.08,0.99)","(4.01,0.03,0.95)","(6.01,0.09,0.89)","(8.02,0.09,0.8)","(10.02,0.01,0.69)","(12.03,0.03,0.56)","(14.03,-0.01,0.4)","(16.04,0.08,0.22)","(18.04,0.08,0.01)","(20.04,0.05,0)","(22.05,-0.08,0)",,
"(0.0,0.08,1.0)","(2.06,-0.08,0.99)","(4.12,-0.05,0.95)","(6.18,-0.08,0.89)","(8.24,-0.06,0.8)","(10.3,0.07,0.69)","(12.36,0.08,0.56)","(14.42,-0.06,0.4)","(16.48,0.02,0.22)","(18.54,-0.05,0.01)","(20.6,-0.02,0)",,,
"(0.0,-0.04,1.0)","(1.75,-0.04,0.99)","(3.5,0.05,0.95)","(5.25,0.05,0.89)","(7.0,-0.05,0.8)","(8.75,-0.08,0.69)","(10.5,0.02,0.56)","(12.25,-0.03,0.4)","(13.99,0.06,0.22)","(15.74,0.05,0.01)","(17.49,-0.0,0)","(19.24,-0.07,0)","(20.99,-0.1,0)",
"(0.0,-0.1,1.0)","(1.67,-0.06,0.99)","(3.34,-0.06,0.95)","(5.01,-0.03,0.89)","(6.68,0.01,0.8)","(8.35,0.02,0.69)","(10.02,0.08,0.56)","(11.69,0.06,0.4)","(13.36,0.08,0.22)","(15.03,0.05,0.01)","(16.7,-0.02,0)","(18.37,-0.1,0)","(20.04,-0.09,0)","(21.71,-0.02,0)"
"(0.0,-0.04,1.0)","(2.07,0.07,0.99)","(4.13,0.06,0.95)","(6.2,0.09,0.89)","(8.26,0.08,0.8)","(10.33,0.04,0.69)","(12.4,-0.0,0.56)","(14.46,0.01,0.4)","(16.53,0.07,0.22)","(18.6,-0.05,0.01)","(20.66,0.03,0)",,,
"(0.0,0.07,1.0)","(1.81,-0.02,0.99)","(3.62,0.02,0.95)","(5.43,-0.0,0.89)","(7.23,0.1,0.8)","(9.04,0.07,0.69)","(10.85,0.07,0.56)","(12.66,-0.09,0.4)","(14.47,-0.07,0.22)","(16.28,-0.02,0.01)","(18.08,0.09,0)","(19.89,0.04,0)","(21.7,-0.01,0)",
"(0.0,-0.08,1.0)","(1.84,-0.05,0.99)","(3.68,-0.06,0.95)","(5.52,-0.1,0.89)","(7.35,-0.09,0.8)","(9.19,-0.01,0.69)","(11.03,-0.02,0.56)","(12.87,0.02,0.4)","(14.71,-0.07,0.22)","(16.55,-0.03,0.01)","(18.39,-0.05,0)","(20.23,0.08,0)",,
"(0.0,0.08,1.0)","(1.69,0.08,0.99)","(3.39,0.03,0.95)","(5.08,0.02,0.89)","(6.77,-0.03,0.8)","(8.46,-0.09,0.69)","(10.16,0.1,0.56)","(11.85,-0.06,0.4)","(13.54,0.07,0.22)","(15.23,0.07,0.01)","(16.93,0.02,0)","(18.62,0.04,0)","(20.31,0.02,0)",
"(0.0,-0.08,1.0)","(1.93,-0.05,0.99)","(3.86,-0.1,0.95)","(5.79,-0.06,0.89)","(7.72,0.06,0.8)","(9.65,0.06,0.69)","(11.58,-0.08,0.56)","(13.51,-0.05,0.4)","(15.44,0.06,0.22)","(17.37,0.08,0.01)","(19.3,0.01,0)","(21.23,-0.04,0)",,
"(0.0,-0.02,1.0)","(1.93,-0.05,0.99)","(3.86,0.05,0.95)","(5.78,0.0,0.89)","(7.71,0.04,0.8)","(9.64,-0.02,0.69)","(11.57,0.04,0.56)","(13.5,0.06,0.4)","(15.43,0.02,0.22)","(17.35,0.05,0.01)","(19.28,-0.08,0)","(21.21,0.05,0)",,
"(0.0,-0.08,1.0)","(1.73,0.09,0.99)","(3.45,0.09,0.95)","(5.18,-0.01,0.89)","(6.9,0.07,0.8)","(8.63,-0.02,0.69)","(10.35,0.02,0.56)","(12.08,0.01,0.4)","(13.8,0.06,0.22)","(15.53,0.03,0.01)","(17.25,0.0,0)","(18.98,0.07,0)","(20.7,0.0,0)",
"(0.0,-0.03,1.0)","(2.03,-0.05,0.99)","(4.07,-0.04,0.95)","(6.1,0.08,0.89)","(8.14,0.04,0.8)","(10.17,0.06,0.69)","(12.2,-0.03,0.56)","(14.24,0.04,0.4)","(16.27,0.1,0.22)","(18.31,-0.01,0.01)","(20.34,-0.02,0)",,,
"(0.0,-0.01,1.0)","(2.01,0.07,0.99)","(4.02,-0.08,0.95)","(6.03,-0.01,0.89)","(8.04,-0.04,0.8)","(10.06,0.09,0.69)","(12.07,-0.03,0.56)","(14.08,0.02,0.4)","(16.09,-0.05,0.22)","(18.1,0.05,0.01)","(20.11,-0.01,0)","(22.12,0.04,0)",,
"(0.0,0.1,1.0)","(1.95,0.08,0.99)","(3.9,0.0,0.95)","(5.85,0.06,0.89)","(7.8,-0.02,0.8)","(9.75,-0.06,0.69)","(11.7,0.08,0.56)","(13.65,-0.01,0.4)","(15.59,-0.03,0.22)","(17.54,-0.03,0.01)","(19.49,0.03,0)","(21.44,-0.1,0)",,
"(0.0,-0.03,1.0)","(1.76,0.02,0.99)","(3.52,0.1,0.95)","(5.27,0.02,0.89)","(7.03,0.09,0.8)","(8.79,0.09,0.69)","(10.55,0.08,0.56)","(12.3,0.06,0.4)","(14.06,0.07,0.22)","(15.82,-0.04,0.01)","(17.58,-0.02,0)","(19.34,-0.04,0)","(21.09,-0.04,0)",
"(0.0,-0.06,1.0)","(1.95,0.05,0.99)","(3.9,-0.02,0.95)","(5.84,-0.0,0.89)","(7.79,0.06,0.8)","(9.74,0.01,0.69)","(11.69,0.07,0.56)","(13.64,0.06,0.4)","(15.59,-0.1,0.22)","(17.53,0.1,0.01)","(19.48,-0.05,0)","(21.43,-0.1,0)",,
